//---------------------------------------------------------
// 以下學生及成績資料均為程式任意產生, 並非真實數據.
// stuNo, course, score
//---------------------------------------------------------

120284,國文,31
120284,英語,60
120284,數學,40
120284,社會,26
120284,自然,34
120284,寫作,4
120285,國文,40
120285,英語,54
120285,數學,47
120285,社會,36
120285,自然,41
120285,寫作,5
120286,國文,35
120286,英語,38
120286,數學,34
120286,社會,36
120286,自然,37
120286,寫作,3
120287,國文,34
120287,英語,43
120287,數學,29
120287,社會,49
120287,自然,45
120287,寫作,3
120288,國文,44
120288,英語,48
120288,數學,42
120288,社會,37
120288,自然,40
120288,寫作,4
120289,國文,24
120289,英語,48
120289,數學,34
120289,社會,33
120289,自然,37
120289,寫作,5
120290,國文,37
120290,英語,48
120290,數學,42
120290,社會,35
120290,自然,37
120290,寫作,4
120291,國文,29
120291,英語,38
120291,數學,34
120291,社會,27
120291,自然,29
120291,寫作,4
120292,國文,38
120292,英語,43
120292,數學,32
120292,社會,45
120292,自然,43
120292,寫作,3
120293,國文,42
120293,英語,54
120293,數學,40
120293,社會,46
120293,自然,38
120293,寫作,4
120294,國文,48
120294,英語,35
120294,數學,42
120294,社會,41
120294,自然,33
120294,寫作,5
120295,國文,38
120295,英語,43
120295,數學,34
120295,社會,43
120295,自然,37
120295,寫作,4
120296,國文,50
120296,英語,54
120296,數學,42
120296,社會,43
120296,自然,45
120296,寫作,5
120297,國文,44
120297,英語,42
120297,數學,44
120297,社會,51
120297,自然,40
120297,寫作,6
120298,國文,34
120298,英語,43
120298,數學,52
120298,社會,36
120298,自然,39
120298,寫作,5
120299,國文,48
120299,英語,43
120299,數學,34
120299,社會,43
120299,自然,39
120299,寫作,4
